时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:15:47.317,1,1,-145.090000,-12.750000,-101.230000,,,,,,,,
2026-01-09 15:15:48.972,2,1,-145.100000,-12.750000,-101.230000,2,-9.190000,16.680000,-114.000000,135.910000,29.430000,-12.770000,139.645000
2026-01-09 15:15:50.633,3,1,-145.080000,-12.730000,-101.230000,2,-9.190000,16.680000,-114.000000,135.890000,29.410000,-12.770000,139.621320
2026-01-09 15:15:52.293,4,1,-145.050000,-12.730000,-101.230000,2,-9.190000,16.680000,-113.990000,135.860000,29.410000,-12.760000,139.591208
2026-01-09 15:15:53.948,5,1,-145.350000,-11.490000,-100.660000,2,-9.180000,16.680000,-113.990000,136.170000,28.170000,-13.330000,139.690754
2026-01-09 15:15:55.623,6,1,-135.980000,10.900000,-96.460000,2,-9.180000,16.720000,-113.950000,126.800000,5.820000,-17.490000,128.132792
2026-01-09 15:15:57.275,7,1,-153.480000,-25.640000,-103.900000,2,-9.190000,16.710000,-113.970000,144.290000,42.350000,-10.070000,150.713408
2026-01-09 15:15:58.933,8,1,-165.050000,-43.960000,-108.740000,2,-9.190000,16.700000,-113.950000,155.860000,60.660000,-5.210000,167.329374
2026-01-09 15:16:00.595,9,1,-165.230000,-45.840000,-109.080000,2,-9.200000,16.700000,-113.940000,156.030000,62.540000,-4.860000,168.167274
2026-01-09 15:16:02.255,10,1,-165.680000,-46.250000,-109.210000,2,-9.210000,16.710000,-113.950000,156.470000,62.960000,-4.740000,168.728451
