时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:16:41.480,1,1,-166.480000,-48.010000,-109.840000,,,,,,,,
2026-01-09 15:16:43.146,2,1,-166.490000,-48.000000,-109.860000,2,-9.170000,16.750000,-113.940000,157.320000,64.750000,-4.080000,170.172828
2026-01-09 15:16:44.800,3,1,-166.460000,-47.880000,-109.760000,2,-9.170000,16.750000,-113.940000,157.290000,64.630000,-4.180000,170.101891
2026-01-09 15:16:46.458,4,1,-166.520000,-48.320000,-110.170000,2,-9.150000,16.750000,-113.940000,157.370000,65.070000,-3.770000,170.333892
2026-01-09 15:16:48.114,5,1,-169.060000,-37.390000,-107.720000,2,-9.160000,16.760000,-113.930000,159.900000,54.150000,-6.210000,168.934297
2026-01-09 15:16:49.779,6,1,-161.980000,-9.570000,-100.970000,2,-9.160000,16.790000,-113.910000,152.820000,26.360000,-12.940000,155.615698
2026-01-09 15:16:51.435,7,1,-163.070000,-11.700000,-101.290000,2,-9.160000,16.790000,-113.920000,153.910000,28.490000,-12.630000,157.033388
2026-01-09 15:16:53.097,8,1,-164.910000,3.810000,-97.370000,2,-9.160000,16.820000,-113.890000,155.750000,13.010000,-16.520000,157.163078
2026-01-09 15:16:54.757,9,1,-177.940000,-27.770000,-104.390000,2,-9.150000,16.810000,-113.920000,168.790000,44.580000,-9.530000,174.837815
2026-01-09 15:16:56.417,10,1,-167.510000,-48.330000,-109.990000,2,-9.140000,16.770000,-113.960000,158.370000,65.100000,-3.970000,171.274131
