时间戳,帧号,传感器1_端口,传感器1_X,传感器1_Y,传感器1_Z,传感器2_端口,传感器2_X,传感器2_Y,传感器2_Z,相对位置_X,相对位置_Y,相对位置_Z,距离
2026-01-09 15:41:37.869,1,,,,,,,,,,,,
2026-01-09 15:41:39.520,2,1,28.540000,60.820000,-76.200000,2,-54.740000,-53.260000,-109.720000,-83.280000,-114.080000,-33.520000,145.166784
2026-01-09 15:41:41.171,3,1,28.550000,60.830000,-76.210000,2,-54.760000,-53.260000,-109.710000,-83.310000,-114.090000,-33.500000,145.187238
2026-01-09 15:41:42.819,4,1,28.540000,60.850000,-76.220000,2,-54.750000,-53.250000,-109.720000,-83.290000,-114.100000,-33.500000,145.183622
2026-01-09 15:41:44.469,5,1,28.550000,60.860000,-76.210000,2,-54.740000,-53.240000,-109.710000,-83.290000,-114.100000,-33.500000,145.183622
2026-01-09 15:41:46.120,6,1,28.490000,60.880000,-76.210000,2,-54.820000,-53.250000,-109.760000,-83.310000,-114.130000,-33.550000,145.230216
2026-01-09 15:41:47.776,7,1,28.640000,61.210000,-76.300000,2,-54.800000,-53.230000,-109.760000,-83.440000,-114.440000,-33.460000,145.527725
2026-01-09 15:41:49.424,8,1,29.390000,63.100000,-76.770000,2,-54.790000,-53.240000,-109.740000,-84.180000,-116.340000,-32.970000,147.337330
2026-01-09 15:41:51.082,9,1,29.390000,63.260000,-76.800000,2,-54.820000,-53.250000,-109.740000,-84.210000,-116.510000,-32.940000,147.482025
2026-01-09 15:41:52.737,10,1,29.390000,63.280000,-76.780000,2,-54.830000,-53.250000,-109.730000,-84.220000,-116.530000,-32.950000,147.505769
2026-01-09 15:41:54.398,11,1,29.370000,63.260000,-76.790000,2,-54.810000,-53.250000,-109.750000,-84.180000,-116.510000,-32.960000,147.469367
2026-01-09 15:41:56.050,12,1,29.410000,63.260000,-76.800000,2,-54.760000,-53.230000,-109.720000,-84.170000,-116.490000,-32.920000,147.438921
2026-01-09 15:41:57.700,13,1,29.390000,63.250000,-76.790000,2,-54.770000,-53.260000,-109.720000,-84.160000,-116.510000,-32.930000,147.451248
2026-01-09 15:41:59.358,14,1,29.380000,63.230000,-76.810000,2,-54.690000,-53.380000,-109.790000,-84.070000,-116.610000,-32.980000,147.490126
2026-01-09 15:42:01.009,15,1,29.390000,63.280000,-76.790000,2,-54.800000,-53.240000,-109.730000,-84.190000,-116.520000,-32.940000,147.478507
2026-01-09 15:42:02.657,16,1,29.340000,63.270000,-76.760000,2,-54.870000,-53.100000,-109.770000,-84.210000,-116.370000,-33.010000,147.387113
2026-01-09 15:42:04.317,17,1,29.150000,62.600000,-76.680000,2,-54.850000,-53.250000,-109.750000,-84.000000,-115.850000,-33.070000,146.870172
2026-01-09 15:42:05.970,18,1,28.060000,60.610000,-76.370000,2,-54.880000,-53.250000,-109.770000,-82.940000,-113.860000,-33.400000,144.771210
2026-01-09 15:42:07.616,19,1,26.250000,58.160000,-76.010000,2,-54.890000,-53.280000,-109.770000,-81.140000,-111.440000,-33.760000,141.923609
2026-01-09 15:42:09.274,20,1,24.230000,55.930000,-75.520000,2,-54.870000,-53.290000,-109.760000,-79.100000,-109.220000,-34.240000,139.133734
